first_name,last_name
David,Baldacci
Mary Higgins,Clark
Agatha,Christie
Tom,Clancy
James,Patterson
Orson Scott,Card
R A,Salvatore
Douglas,Adams
Stephen R,Donaldson
Margaret,Weis
Tracy,Hickman
